variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-heat-heavy-stairs-v1-incident-factor-plus-005-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,29a40fc9,5,candidate-1c9a80e8,SAFE_DELAY,FEASIBLE,false,29.894467,33.839892,3.945425,AVOIDED,9,7,,-0.674292,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-incident-factor-plus-005-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,29a40fc9,5,candidate-1c9a80e8,SAFE_DELAY,FEASIBLE,false,29.894467,33.839892,3.945425,AVOIDED,9,7,,-0.674292,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-incident-factor-plus-005-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,29a40fc9,5,candidate-1531760e,REST|SAFE_DELAY,FEASIBLE,false,29.894467,38.793433,8.898966,AVOIDED,10,7,,5.33161,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-self-check-missing-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,6b960ace,5,candidate-0d9e7383,SAFE_DELAY,FEASIBLE,false,30.4528,34.230725,3.777925,UNCHANGED,9,7,,-0.953458,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-self-check-missing-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,6b960ace,5,candidate-0d9e7383,SAFE_DELAY,FEASIBLE,false,30.4528,34.230725,3.777925,UNCHANGED,9,7,,-0.953458,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-self-check-missing-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,6b960ace,5,candidate-67d0109d,REST|SAFE_DELAY,FEASIBLE,false,30.4528,39.184267,8.731467,UNCHANGED,10,7,,5.052445,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-shift-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,8f9e6330,5,candidate-a12d5903,REORDER_STOPS,FEASIBLE,false,29.965894,30.018044,0.05215,AVOIDED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-shift-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,8f9e6330,5,candidate-a12d5903,REORDER_STOPS,FEASIBLE,false,29.965894,30.018044,0.05215,AVOIDED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-shift-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,8f9e6330,5,candidate-8db2f1a4,REST,FEASIBLE,false,29.965894,34.615339,4.649445,AVOIDED,10,8,,-5.750925,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-shift-plus-60m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,bfab0af8,5,candidate-5c7b7312,REORDER_STOPS,INFEASIBLE,true,29.810894,29.863044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
